import time: self [us] | cumulative | imported package
import time:       298 |        298 |                 zlib
import time:       118 |        118 |                     compression
import time:       192 |        309 |                   compression._common
import time:       268 |        268 |                   compression._common._streams
import time:       289 |        289 |                   _bz2
import time:       335 |       1200 |                 bz2
import time:       329 |        329 |                   _lzma
import time:       342 |        671 |                 lzma
import time:       399 |        399 |                   _zstd
import time:       351 |        351 |                   compression.zstd._zstdfile
import time:      1000 |       1749 |                 compression.zstd
import time:       989 |       4905 |               shutil
import time:       192 |        192 |                   _bisect
import time:       189 |        381 |                 bisect
import time:       164 |        164 |                 _random
import time:       660 |       1203 |               random
import time:       647 |       6754 |             tempfile
import time:       688 |       7441 |           anyio._core._tempfile
import time:       444 |      48132 |         anyio
import time:      1705 |       1705 |                       typing_extensions
import time:      1089 |       1089 |                       pydantic_core._pydantic_core
import time:       466 |        466 |                             numbers
import time:       998 |       1464 |                           _decimal
import time:       213 |       1676 |                         decimal
import time:     13954 |      15629 |                       pydantic_core.core_schema
import time:       901 |      19324 |                     pydantic_core
import time:       240 |      19563 |                   pydantic.version
import time:       417 |      19979 |                 pydantic.warnings
import time:       311 |      20290 |               pydantic._migration
import time:       156 |        156 |                   typing_inspection
import time:      1826 |       1826 |                   typing_inspection.typing_objects
import time:      1303 |       3284 |                 typing_inspection.introspection
import time:       206 |        206 |                 pydantic._internal
import time:       507 |        507 |                     pydantic._internal._namespace_utils
import time:       636 |       1143 |                   pydantic._internal._typing_extra
import time:       443 |       1585 |                 pydantic._internal._repr
import time:       772 |       5845 |               pydantic.errors
import time:       437 |      26571 |             pydantic
import time:        91 |         91 |                 pydantic._internal._internal_dataclass
import time:      1558 |       1648 |               pydantic.aliases
import time:      1878 |       1878 |               pydantic.config
import time:       615 |       4141 |             pydantic._internal._config
import time:       238 |        238 |               pydantic._internal._core_utils
import time:       125 |        125 |                 pydantic._internal._import_utils
import time:      1228 |       1352 |               pydantic._internal._utils
import time:      4766 |       6355 |             pydantic._internal._decorators
import time:       549 |        549 |                 pydantic._internal._forward_ref
import time:       706 |       1254 |               pydantic._internal._generics
import time:       238 |        238 |               pydantic._internal._docs_extraction
import time:       651 |       2143 |             pydantic._internal._fields
import time:       648 |        648 |                 pydantic.plugin
import time:       414 |       1062 |               pydantic.plugin._schema_validator
import time:       751 |       1813 |             pydantic._internal._mock_val_ser
import time:      2190 |       2190 |                 fractions
import time:       304 |        304 |                   _uuid
import time:       769 |       1072 |                 uuid
import time:       494 |        494 |                     sysconfig
import time:      1517 |       2010 |                   zoneinfo._tzpath
import time:       257 |        257 |                   zoneinfo._common
import time:       261 |        261 |                   _zoneinfo
import time:       286 |       2813 |                 zoneinfo
import time:       289 |        289 |                 pydantic.annotated_handlers
import time:      4135 |       4135 |                 pydantic.functional_validators
import time:       262 |        262 |                   pydantic._internal._core_metadata
import time:       205 |        205 |                   pydantic._internal._schema_generation_shared
import time:      1898 |       2365 |                 pydantic.json_schema
import time:       270 |        270 |                 pydantic._internal._discriminated_union
import time:       270 |        270 |                 pydantic._internal._known_annotated_metadata
import time:      2950 |       2950 |                 pydantic._internal._schema_gather
import time:      1835 |      18185 |               pydantic._internal._generate_schema
import time:       235 |        235 |               pydantic._internal._signature
import time:       654 |      19073 |             pydantic._internal._model_construction
import time:       564 |        564 |               http
import time:       200 |        764 |             starlette.exceptions
import time:      8386 |       8386 |               annotated_types
import time:       494 |        494 |               pydantic._internal._validators
import time:      6700 |       6700 |               pydantic.types
import time:      2065 |      17644 |             pydantic.fields
import time:       106 |        106 |                     importlib._abc
import time:       165 |        271 |                   importlib.util
import time:       129 |        129 |                     zipfile._path.glob
import time:       319 |        448 |                   zipfile._path
import time:       822 |       1539 |                 zipfile
import time:       237 |        237 |                 importlib.metadata._meta
import time:       233 |        233 |                 importlib.metadata._collections
import time:       118 |        118 |                 importlib.metadata._functools
import time:        93 |         93 |                 importlib.metadata._itertools
import time:       308 |        308 |                 importlib.abc
import time:       943 |       3468 |               importlib.metadata
import time:       166 |       3634 |             pydantic.plugin._loader
import time:      4464 |      86598 |           fastapi.exceptions
import time:        92 |         92 |             fastapi.openapi
import time:        93 |         93 |                 fastapi.types
import time:       152 |        152 |                   shlex
import time:       118 |        118 |                   starlette.concurrency
import time:       731 |        731 |                   starlette.types
import time:       767 |       1765 |                 starlette.datastructures
import time:       197 |       2055 |               fastapi._compat.shared
import time:        66 |         66 |                 fastapi.openapi.constants
import time:      1152 |       1218 |               fastapi._compat.v2
import time:       142 |       3414 |             fastapi._compat
import time:       114 |        114 |             fastapi.logger
import time:       142 |        142 |               email_validator.exceptions
import time:       123 |        123 |               email_validator.types
import time:       150 |        150 |                 unicodedata
import time:     12663 |      12663 |                   email_validator.rfc_constants
import time:       397 |        397 |                       idna.idnadata
import time:        98 |         98 |                       idna.intranges
import time:       477 |        971 |                     idna.core
import time:        79 |         79 |                     idna.package_data
import time:       149 |       1198 |                   idna
import time:       375 |      14235 |                 email_validator.syntax
