import time: self [us] | cumulative | imported package
import time:       346 |       1370 |                 pydantic_settings.sources.base
import time:       156 |        156 |                       pydantic_settings.sources.providers.env
import time:       151 |        306 |                     pydantic_settings.sources.providers.aws
import time:        73 |         73 |                       pydantic.alias_generators
import time:       210 |        282 |                     pydantic_settings.sources.providers.azure
import time:      1817 |       1817 |                     pydantic_settings.sources.providers.cli
import time:      1152 |       1152 |                           dotenv.parser
import time:       316 |        316 |                           dotenv.variables
import time:       294 |       1760 |                         dotenv.main
import time:       119 |       1878 |                       dotenv
import time:       191 |       2069 |                     pydantic_settings.sources.providers.dotenv
import time:       222 |        222 |                     pydantic_settings.sources.providers.gcp
import time:       135 |        135 |                     pydantic_settings.sources.providers.json
import time:       115 |        115 |                       pydantic_settings.sources.providers.toml
import time:       136 |        251 |                     pydantic_settings.sources.providers.pyproject
import time:       160 |        160 |                     pydantic_settings.sources.providers.secrets
import time:       143 |        143 |                     pydantic_settings.sources.providers.yaml
import time:       198 |       5578 |                   pydantic_settings.sources.providers
import time:        28 |       5606 |                 pydantic_settings.sources.providers.aws
import time:       152 |        152 |                 pydantic_settings.sources.providers.nested_secrets
import time:       152 |       7278 |               pydantic_settings.sources
import time:      1047 |       9746 |             pydantic_settings.main
import time:        93 |         93 |             pydantic_settings.version
import time:       158 |      10105 |           pydantic_settings
import time:       646 |      10751 |         app.core.config
import time:        86 |         86 |           passlib.handlers
import time:        75 |         75 |             passlib.crypto
import time:        50 |         50 |             fastpbkdf2
import time:       364 |        487 |           passlib.crypto.digest
import time:       896 |       1469 |         passlib.handlers.bcrypt
import time:      1540 |      43209 |       app.core.security
import time:        68 |         68 |           app.db
import time:       167 |        167 |                 sqlalchemy.dialects.sqlite.json
import time:      1935 |       2102 |               sqlalchemy.dialects.sqlite.base
import time:       402 |        402 |               sqlalchemy.dialects.sqlite.pysqlite
import time:       104 |        104 |                 sqlalchemy.connectors
import time:       417 |        521 |               sqlalchemy.connectors.asyncio
import time:       409 |       3432 |             sqlalchemy.dialects.sqlite.aiosqlite
import time:       129 |        129 |             sqlalchemy.dialects.sqlite.pysqlcipher
import time:       168 |        168 |               sqlalchemy.dialects._typing
import time:       678 |        846 |             sqlalchemy.dialects.sqlite.dml
import time:       210 |       4615 |           sqlalchemy.dialects.sqlite
import time:       489 |        489 |               _sqlite3
import time:       222 |        711 |             sqlite3.dbapi2
import time:       145 |        855 |           sqlite3
import time:       784 |       6320 |         app.db.session
import time:        94 |         94 |           app.models
import time:       125 |        125 |           app.db.base
import time:      2138 |       2357 |         app.models.user
import time:       165 |       8841 |       app.core.dependencies
import time:        96 |         96 |         app.schemas
import time:      2455 |       2551 |       app.schemas.auth
import time:       946 |        946 |       app.schemas.user
import time:       251 |        251 |               pydantic.v1.typing
import time:      1016 |       1266 |             pydantic.v1.errors
import time:        43 |         43 |                 cython
import time:       101 |        143 |               pydantic.v1.version
import time:       437 |        580 |             pydantic.v1.utils
import time:       248 |       2093 |           pydantic.v1.class_validators
import time:       585 |        585 |           pydantic.v1.config
import time:       330 |        330 |               pydantic.v1.color
import time:      1017 |       1017 |                   pydantic.v1.datetime_parse
import time:       381 |       1398 |                 pydantic.v1.validators
import time:       677 |       2074 |               pydantic.v1.networks
import time:      1169 |       1169 |               pydantic.v1.types
import time:       174 |       3745 |             pydantic.v1.json
import time:       235 |       3980 |           pydantic.v1.error_wrappers
import time:       496 |        496 |           pydantic.v1.fields
import time:       194 |        194 |             pydantic.v1.parse
import time:       439 |        439 |             pydantic.v1.schema
import time:       642 |       1274 |           pydantic.v1.main
import time:       353 |       8778 |         pydantic.v1.dataclasses
import time:       125 |        125 |         pydantic.v1.annotated_types
import time:       197 |        197 |         pydantic.v1.decorator
import time:       519 |        519 |         pydantic.v1.env_settings
import time:       158 |        158 |         pydantic.v1.tools
import time:       256 |      10031 |       pydantic.v1
import time:      2785 |     203841 |     app.api.routes.auth
import time:       581 |        581 |     app.api.routes.users
import time:      1718 |       1718 |       app.models.tutor
import time:      1882 |       1882 |       app.models.topic
import time:      1320 |       1320 |       app.models.booking
import time:      1751 |       1751 |       app.schemas.tutor
import time:      1214 |       1214 |       app.schemas.booking
import time:      2972 |      10855 |     app.api.routes.tutors
import time:       937 |        937 |       app.models.subject
import time:       904 |        904 |       app.schemas.subject
import time:      2181 |       4021 |     app.api.routes.subjects
import time:      1087 |       1087 |       app.models.availability
import time:       776 |        776 |       app.schemas.availability
import time:      3147 |       5009 |     app.api.routes.availability
import time:        73 |         73 |         app.services
import time:       106 |        106 |         app.services.calendar
import time:       189 |        366 |       app.services.booking_service
import time:      3499 |       3865 |     app.api.routes.bookings
import time:     11424 |     239726 |   app.api.router
import time:       238 |        238 |   app.db.init_db
import time:     12627 |     513891 | app.main
